Title;Authors;Year;Journal;DOI, if applicable;kind of journal?;Species;Order Species;Family Species;Status species (local/mentioned by paper) pest, endangered,...;pest or not?;Status IUCN;Where?;Region;region (Tropical, Temperate, Boreal,...);estimate of body length (mm);Flying/crawling/aquatic;Kind of tag (RFID, radio, harmonic);where was the tag attached;ventral/dorsal/internal;Study field;Estimation of amount of individuals tagged;What kind of experiment?;Tag only certain group? (larger females, only large ones);Duration of tagging;Do they take the tag of again?;Mention mass species/individuals yes/no;Mean mass individual or species in g;Mention mass tag yes/no;Mean mass tag in mg;Mention mass ratio yes/no;Mean ratio percent;Mention/discuss possible impact yes/no;Impact yes/no?;How impact is discussed or measured;Quantification of impact? yes/no;Say more research is needed to assess impact or not able to assess the impact themselves;Comments;
The harmonic radar: a new method of tracing insects in the field;Mascanzoni & Wallin;1986;Ecological Entomology;10.1111/j.1365-2311.1986.tb00317.x;WoS;Pterostichus melanarius, Harpalus rufipes, Pterostichus niger, Carabus granulatus;Coleoptera, Coleoptera, Coleoptera, Coleoptera;Carabidae, Carabidae, Carabidae, Carabidae;NA;0, 0, 0, 0;NE, NE, NE, NE;Uppsala, Sweden, Europe;Europe;Boreal;15, 15, 18, 20;crawling, crawling, crawling, crawling;portable harmonic radar;elytra;dorsal;testing techique;50;natural field conditions;Females, Females, both, both;8-30 days;not mentioned;no;NA, NA, NA, NA;yes;55, 55, 55, 55;no;NA, NA, NA, NA;yes;no, no, no, no;CMRC;no;no;They do capture mark recapture with tagged and wing-clipped individuals, after 2 times sampling in one week, there is no difference in recapture.;
Movements of Carabid Beetles (Coleoptera: Carabidae) Inhabiting Cereal fields: A field Tracing Study;Wallin and Ekbom;1988;Oecologia;10.1007/BF00380922;WoS;Pterostichys melanarius, Pterostichus niger, Harpalus rufipes, Carabus nemoralis;Coleoptera, Coleoptera, Coleoptera, Coleoptera;Carabidae, Carabidae, Carabidae, Carabidae;NA;0, 0, 0, 0;NE, NE, NE, NE;Uppsala, Sweden, Europe;Europe;Boreal;15, 18, 15, 25;crawling, crawling, crawling, crawling;portable harmonic radar;elytra;dorsal;movement;98;natural field conditions;both;one night? dissected to see if they were hungry or not;collected in the end;no;NA, NA, NA, NA;no;NA, NA, NA, NA;no;NA, NA, NA, NA;no;NA, NA, NA, NA;established protocol;no;no;Refer to Mascanzoni & Wallin (1986) for the technique;
Bewegungsmuster und Orientierung des Laufkäfers Carabus auronitens in einem westfälischen Eichen-Hainbuchen-Wald (Radarbeobactungen und Rückfangexperimente);Hockmann et al;1989;Abhandlungen aus dem Westfälischen Museum fur Naturkunde;Abh. Westf. Mus. Natkde 51(1): 1–71;non peer-reviewed;Carabus auronitens;Coleoptera;Carabidae;abundant forest-species;0;NE;Nord Rhine-Westphalia, Germnay;Europe;Temperate;25;crawling;portable harmonic radar;elytra;dorsal;movement;13;natural field conditions;no;4 to 30 days;not mentioned;no;NA;no;NA;yes;35;yes;no;normal behaviour;no;no;;
Movement patterns and foraging tactics of a caterpillar hunter inhabiting alfalfa fields;Wallin;1991;Functional Ecology;10.2307/2389536;WoS;Calosoma affine;Coleoptera;Carabidae;not mentioned;0;NE;San Joaquin Valley, California, USA;North America;Arid;25;crawling;portable harmonic radar;thorax;dorsal;movement;59;field experiment;no;2 months;not mentioned;no;NA;no;NA;no;NA;yes;no;established protocol + qualitative reasoning;no;no;Refer to Mascanzoni & Wallin (1986) and Wallin & Ekbom (1988).;
Radar tracking the movements of ground beetles in a farmland mosaic;Kennedy and Young;1993;Aberdeen Letters in Ecology;6, 18-19;peer-reviewed, not on WoS;Carabus nemoralis;Coleoptera;Carabidae;eurytopic;0;NE;Abderdeen, Scotland, UK, Europe;Europe;Temperate;25;crawling;portable harmonic radar;elytra;dorsal;movement;11;natural field conditions;males;9 hours - 1 day max;not mentioned, but most likely yes;no;NA;yes;50;yes;10;no;NA;NA;no;no;;
The distribution and movement of ground beetles in relation to set-aside arable land;Kennedy;1994;Carabid beetles: Ecology and Evolution;K. Desender et al (eds.) 439-444. Kluwer Academic Publishers. Printed in the Netherlands.;chapter in book;Carabus nemoralis;Coleoptera;Carabidae;eurytopic;0;NE;Abderdeen, Scotland, UK, Europe;Europe;Temperate;25;crawling;portable harmonic radar;elytra;dorsal;movement;10;natural field conditions;males;1-3 nights;not mentioned;no;NA;yes;50;yes;10;no;NA;NA;no;no;Refer to Mascanzoni & Wallin (1986);
Influence of hunger level and prey densities on movements patterns in three Species of Pterostichus Beetles (Coleoptera: Carabidae);Wallin and Ekbom;1994;Environmental Entomology;10.1093/ee/23.5.1171;WoS;Pterostichus cupreus, Pterostichus melanarius, Pterostichus niger;Coleoptera, Coleoptera, Coleoptera;Carabidae, Carabidae, Carabidae;Proposed biological control agents;0, 0, 0;NE, NE, NE;Uppsala and Stockholm, Sweden, Europe;Europe;Boreal;12, 15, 18;crawling, crawling, crawling;portable harmonic radar;not mentioned;NA;movement;32;natural field conditions;both males and females;7-54 days;collected in the end;no;NA, NA, NA;no;NA, NA, NA;no;NA, NA, NA;no;NA, NA, NA;established protocol;no;no;Refer to Mascanzoni & Wallin (1986);
Use of radio telemetry for studying dispersal and habitat use of Carabus coriaceus L;Riecken & Raths;1996;Ann Zool Fennici;33, 109-116;WoS;Carabus coriaceus;Coleoptera;Carabidae;NA;0;NE;Bonn, North-Rhine Westfalia, Germany, Europe;Europe;Temperate;35;crawling;radio telemetry;elytra;dorsal;testing technique + dispersal;15;natural field conditions;no;14-18 days;not mentioned;yes;1.64;yes;650;yes;42.5;yes;no;refer + reasoning;no;yes;They say that in a previous study (in German, not on WoS and not included here), the beetles gained weight during the experiment and conclude that there is therefore no effect on foraging success. Impact on behaviour and dispersal is for future studies.;
Tracking bees with harmonic radar;Riley et al;1996;Nature;10.1038/379029b0;WoS;Bombus spp., Apis mellifera;Hymenoptera, Hymenoptera;Apidae, Apidae;NA;0, 0;NE, DD;Based on mentioned flora: Southwestern USA;North America;Temperate;13, 12.5;Flying, Flying;scanning harmonic radar;scutum (based on picture);dorsal;testing techique;41;field experiment;regular foragers;NA;not mentioned;no;NA, NA;yes;3, 3;yes;1.5, NA;yes;no, no;qualitative discussion;no;yes;They measure the trag of the pit tag through free fall experiments and compare it with the drag of a bee body.;
Even smaller radar tags on insects;Roland et al;1996;Nature;10.1038/381120a0;WoS;Parnassius smintheus, Erebia epipsodea, Malacosoma disstria, Patelloa pachypyga, Arachnidomyia aldrichi;Lepidoptera, Lepidoptera, Lepidoptera, Diptera, Diptera;Papilionidae, Nymphalidae, Lasiocampidae, Tachinidae,  Sarcophagidae ;NA;0, 0, 0, 0, 0;NE, NE, NE, NE, NE;Canada;North America;Boreal;50, 40, 30, 10, 10;Flying, Flying, Flying, Flying, Flying;harmonic radar;thorax or abdomen;dorsal;testing techique + movement;NA;field experiment;adults + larvae of Malacosoma;14 days, NA, 48h, 3h, NA;not mentioned;yes;0.35, 0.15, 0.2, 0.05, 0.065;yes;0.4, 0.4, 0.4, 0.4, 0.4;yes;0.114, 0.27, 0.2, 0.76, 0.62;yes;no, no, no, no, no;CMRC + normal behaviour;no;no;Mark-recapture study of 10 individuals fitted with tags, together with untagged butterflies, over a period of 2 weeks.;
Abundance and future options for wetapunga on Little Barrier Island;Gibbs and McIntyre;1997;Science for conservation: 48;Published by Dep. Of Conservation. Wellington, New Zealand;peer-reviewed, not on WoS;Deinacrida heteracantha;Orthoptera;Anostostomatidae;declining population;0;VU;little barrier island, New Zealand;New Zealand;Temperate;60;crawling + climbing;radio telemetry;pronotum;dorsal;conservation;5;natural field conditions;no;2-12 days;not mentioned;no;NA;no;NA;no;NA;yes;no;normal behaviour;no;no;;
Harmonic radar: A new technique for investigating bumblebee and honeybee foraging flight;Osborne et al;1997;Acta Hort;10.17660/ActaHortic.1997.437.15;Conference paper;Bombus lapidarius, Bombus pascuorum, Apis mellifera;Hymenoptera, Hymenoptera, Hymenoptera;Apidae, Apidae, Apidae;NA;0, 0, 0;LC, LC, DD;Hertfordshire, England, Europe;Europe;Temperate;14, 12, 12.5;Flying, Flying, Flying;scanning harmonic radar;thorax;dorsal;testing techique;11;field experiment;no;over 3 day trips were recorded (do not mention removal at end of day here);not mentioned;yes;0.2, 0.2, 0.1;yes;3, 3, 3;no;NA, NA, NA;yes;no, no, no;normal behaviour;no;no;Observation that tagged bees made foraging trips of similar duration than untagged bees and pollen loads were the same. In a later article of Osborne et al. (1999) they quantifed this and concluded that there were differences in foraging duration.;
Harmonic radar - a method using inexpensive tags to study invertebrate movement on land;Lovei et al;1997;New Zealand Journal of Ecology;21(2): 187-193;WoS;Plocamosthetus planiusculus;Coleoptera;Carabidae;not mentioned;0;NE;new zealand;New Zealand;Temperate;25;crawling;portable harmonic radar;elytra;dorsal;testing techique;5;natural field conditions;no;Not clear, several days at least;not mentioned;no;NA;no;NA;no;NA;yes;no;qualitative discussion;no;no;;
Harmonic radar as a means of tracking the Pheromone-Finding and Pheromone-Following Flight of male moths;Riley et al;1998;Journal of Insect Behaviour;10.1023/A:1021004209198;WoS;Agrotis segetum;Lepidoptera;Noctuidae;Lab culture;0;NE;Lund, Sweden, Europe;Europe;Boreal;20;Flying;scanning harmonic radar;scutum;dorsal;testing techique;NA;field experiment;Males;1 day;not mentioned;yes;0.20;yes;6;yes;3.5;yes;no;normal behaviour in wind tunnel;no;no;They test tagged individuals in a wind tunnel, to see if they fly in a similar way as non-tagged males and if they react to the pheromones present.;
Movement of the male brown tarantula, Aphonopelma hentzi (Araneae, Theraphosidae), using radio telemetry;Janowski-Bell and Horner;1999;Journal of Arachnology;27(3): 503-512;WoS;Aphonopelma hentzi;Araneae;Theraphosidae;not mentioned;0;NE;W.T. Waggoner Estate, near Electra, Wilbarger County, Texas, USA;North America;Arid;100;crawling;radio telemetry;cephalothorax;dorsal;testing techique + movement;7;natural field conditions;males;few days (10-45 days), fell off;yes;yes;5.00;yes;700;no;NA;yes;no;correlation distance and weight ratio;no;no;;
A Landscape-Scale Study of Bumble Bee Foraging Range and Constancy, Using Harmonic radar;Osborne et al;1999;Journal of Applied Ecology;10.1046/j.1365-2664.1999.00428.x;WoS;Bombus terrestris;Hymenoptera;Apidae;Commercial colony;0;LC;Hertfordshire, England, Europe;Europe;Temperate;14;Flying;scanning harmonic radar;thorax;dorsal;movement;19;commercial nest in field;no;some bees tracked 2/3 days but removal of transmitter at end of day;yes;no;NA;yes;12;yes;7;yes;yes;BA;yes;no;Compared the flight performance of a few bumblebees before and after attachment of a transponder: foraging time, nectar and pollen load were measured, bees individually collected nectar loads weighing 110mg, 86mg and 129mg before transponder attachment and the same 3 bees collected nectar loads weighing 84 mg, 99 mg and 120 mg, respectively, with the transponder attached. A total of 22 foraging trips by five bees with transponders lasted on average 22.9 +- 5.6 min, while 27 trips made by the same bees before transponder attachment lasted on average 12.8 +- 2.5 min, suggesting a difference in flight duration.  Bees fitted with transponders trips, out the nest lasted on average 83.8 + 8.5 min. Trips for these bees before transponder attachment lasted an average of 56.5 + 4.4 min. They suspect this is mainly due to handling time on individual flowers, not an impact of the weight on the flight performance.;
Compensation for wind drift by bumble-bees;Riley et al;1999;Nature;10.1038/22029;WoS;Bombus terrestris;Hymenoptera;Apidae;not mentioned;0;LC;UK, Europe?;Europe;Temperate;14;Flying;scanning harmonic radar;thorax;dorsal;movement;145;field experiment;workers;not mentioned;not mentioned;no;NA;no;NA;no;NA;no;NA;established protocol;no;no;Refer to Riley et al (1996).;
Ontogeny of orientation flight in the honeybee revealed by harmonic radar;Capaldi et al;2000;Nature;10.1038/35000564;WoS;Apis mellifera;Hymenoptera;Apidae;not mentioned;0;DD;Illinois, North America and Rothamsted, UK, Europe;Europe;Temperate;12.5;Flying;scanning harmonic radar;thorax (from picture);dorsal;movement;44;apiary;workers;mean 336s;yes;no;NA;yes;1;no;NA;yes;no;pollen load + correlation foraging duration CI;yes;no;The transponder weighs less than an average load of nectar or pollen.' Flight duration of tagged and non-tagged bees is compared post hoc.;
Radio-telemetric evidence of migration in the gregarious but not the solitary morph of the Mormon cricket (Anabrus simplex: Orthoptera: Tettigoniidae);Lorch & Gwynne;2000;Naturwissenschaften;10.1007/s001140050743;WoS;Anabrus simplex;Orthoptera;Tettigoniidae;can be economically impor- tant when they invade crop fields;pest;NE;Dinosaur National Monument and Colorado Rocky Mountains Kelly Flats in the Cache La Poudre Canyon,  Colorado, USA;North America;Arid;80;crawling + hopping;radio telemetry;pronotum;dorsal;movement;8;natural field conditions;females;2-3 days;not mentioned;yes;2.50;yes;850;no;NA;no;NA;NA;no;no;;
Electronic tags for the tracking of insects in flight: effect of weight on flight performance of adult Colorado potato beetles;Boiteau and Colpitts;2001;Entomologia Experimentalis et Applicata;10.1046/j.1570-7458.2001.00863.x;WoS;Leptinotarsa decemlineata;Coleoptera;Chrysomelidae;major pest of potoatoes;pest;NE;Potatoe research center, New Brunswick, Canada;North America;Boreal;10;Flying;scanning harmonic radar;pronotum;dorsal;testing techique;150;lab arena;older than 10 days;1 hour;not mentioned;yes;0.12;yes;4.255;yes;2.4;yes;yes, depending on ratio weight;CI;yes;yes;measuring upward/downward flight ratio and take-off angle for control and impact group, glue is tested for toxicity                                                                ;
Flexible task allocation and the organization of work in ants;Robinson et al;2009;Proc Roc Soc;10.1098/rspb.2009.1244;WoS;Temnothorax albipennis;Hymenoptera;Formicidae;NA;0;NE;Dorset, UK, Europe;Europe;Temperate;28;crawling;RFID;thorax;dorsal;behaviour;336;artificial nest in lab;55 workers + queen;few days, at the end whole colony was killed;collected in the end;no;NA;yes;0.09;no;NA;no;NA;established protocol;no;no;Refer to Robinson et al (2009a,b);
Mating disruption in Agrotis segetum monitored by harmonic radar;Svensson et al;2001;Entomologia Experimentalis et Applicata;10.1046/j.1570-7458.2001.00896.x;WoS;Agrotis segetum;Lepidoptera;Noctuidae;not mentioned (lab reared);0;NE;Rothamsted, Harpenden, England, Europe;Europe;Temperate;20;Flying;scanning harmonic radar;scutum;dorsal;behavioural mechanism;42;field experiment;males;max 77 min;not mentioned;yes;0.14;yes;8;yes;10;yes;no;CI;yes;no;flight behaviour in wind tunnel tested: amount of moths that responded to the different behavioural steps to a pheromone trap in a wind tunnel. Proportions of the behavioural steps were compared between tagged and non tagged individuals; 
Using radio telemetry to study dispersal of the beetle Osmoderma eremita, an inhabitant of tree hollows;Hedin & Ranius;2002;Computers and Electronics in Agriculture;10.1016/S0168-1699(02)00017-0;WoS;Osmoderma eremita;Coleoptera;Cetoniidae;threatened, Annex 4 of the EU's habitat directive;0;NT;South-East Sweden, Europe;Europe;Temperate;30;Climbing + Flying;radio telemetry;pronotum;dorsal;testing technique + dispersal;74;natural field conditions;larger than average masses (t-test);lifetime, retained when found dead;no;yes;2.30;yes;480;yes;22.5;yes;maybe;CMRC + discussion;no;indirectly;;
Flight movement of  Scapanes australis australis (Boisduval) (Coleoptera: Scarabaeidae: Dynastinae) in Papua New Guinea: a radiotelemetry study;Beaudoin-Ollivier et al;2003;Australian Journal of Entomology;10.1046/j.1440-6055.2003.00369.x;WoS;Scapanes australis;Coleoptera;Scarabaeidae;pest;pest;NE;Malas Village, Madang Province, Papua New Guinea, Oceania;North America;Tropical;49;Climbing + Flying;radio telemetry + chemical light tags;prothorax;dorsal;movement;15;natural field conditions;no;max 6 days, until battery failed or they left the study site;no;yes;7.69;yes;480;yes;6;yes;no;reasoning;no;no;;
The automatic pilot of honeybees;Riley et al;2003;Proc Roy Soc B;10.1098/rspb.2003.2542;WoS;Apis mellifera;Hymenoptera;Apidae;not mentioned;0;DD;Klein Lüben, Brandenburg, Germany, Europe;Europe;Temperate;12.5;Flying;scanning harmonic radar;not mentioned;NA;movement;NA;apiary;workers;not mentioned;not mentioned;no;NA;no;NA;no;NA;no;NA;NA;no;no;;
Radio tagging reveals the roles of corpulence, experience and social information in ant decision making;Robinson et al;2009;Behavioral Ecol and Sociobiol;10.1007/s00265-008-0696-z;WoS;Temnothorax albipennis;Hymenoptera;Formicidae;NA;0;NE;Dorset, UK, Europe;Europe;Temperate;28;crawling;RFID;thorax;dorsal;behaviour;500;artificial nest in lab;workers;few days, at the end whole colony was killed;collected in the end;no;NA;yes;0.09;yes;30;yes;no;CI + refer;yes;no;Quantifying speed and sinuosity of the path & behaviour (supplementary). Refer to Nuelsen (2001) and Weier and Feener (1995), articles about ant energetics.;
Juvenile hormone and division of labor in honey bee colonies: effects of allatectomy on flight behavior and metabolism;Sullivan et al;2003;Journal of Exp biol;10.1242/jeb.00432;WoS;Apis mellifera;Hymenoptera;Apidae;NA;0;DD;Rothamsted, Harpenden, England, Europe;Europe;Temperate;12.5;Flying;scanning harmonic radar;thorax;dorsal;movement;250;apiary;workers;"remove the transponder
upon return to the hive. Each bee was tracked once.";yes;no;NA;yes;12;no;NA;yes;no;refer pollen load;no;no;"Transponder weighing 12 mg, less than the average mass of a load of nectar or pollen
(Winston, 1987)'. Refer to Capaldi et al 2000)";
The potential of portable harmonic radar technology for the tracking of beneficial insects;Boiteau and Colpitts;2004;International Journal of Pest Management;10.1080/09670870410001731970;WoS;Harmonia axyridis, Hippodamia convergens;Coleoptera, Coleoptera;Coccinelidae, Coccinelidae;invasive species, but beneficial for pest control, beneficial species for pest control;pest, 0;NE, NE;lab study;North America;Canada;6, 5.5;Climbing + Flying, Climbing + Flying;portable harmonic radar;pronotum;dorsal;testing techique;28;lab arena;no;10 days;yes;yes;0.0322, 0.0188;yes;2, 2;no;NA, NA;yes;yes, depending on ratio weight, yes depending on ratio weight;CI + discussion;yes;indirectly;Number of upward and downward flights is measured for control and impact groups. 'The use of pole-like tags glued on the pronotum of insectsintroduces new variables that can affect flight, such as aerodynamic drag (Riley et al., 1996), entanglement (Roland et al., 1996) and overloading (Boiteau and Colpitts, 2001)'. 'However, the ability of many insects to carry heavy loads in flight must be distinguished from the ability of these insects to carry extra loads without negatively affecting flight performance. It is likely that maximum loads for flight all affect some aspects of flight performance.';
Harmonic radar transceiver design: Miniature tags for insect tracking;Colpitts and Boiteau;2004;IEEE ANTENNAS AND WIRELESS PROPAGATION LETTERS;10.1109/TAP.2004.835166;WoS;Leptinotarsa decemlineata;Coleoptera;Chrysomelidae;pest;pest;NE;probably Canada;North America;Boreal;10;Flying;portable harmonic radar;prothorax;dorsal;development;NA;field experiment;no;not mentioned;not mentioned;no;NA;yes;3;no;NA;no;NA;established protocol;no;no;Refer to Boiteau et al (2001);-
Tracking Insects with Harmonic Radar: a Case Study;O'Neal et al;2004;American Entomologist;/doi.org/10.1093/ae/50.4.212;peer-reviewed, not on WoS;Scarites quadriceps, Harpalus pennsylvanicus;Coleoptera, Coleoptera;Carabidae, Carabidae;not mentioned;0, 0;NE, NE;Michigan, USA?;North America;Temperate;17.5, 14.4;crawling, crawling;portable harmonic radar;elytra;dorsal;testing techique;20;natural field conditions;no;3-48h;not mentioned;no;NA, NA;yes;91, 26;no;NA, NA;yes;yes, yes;qualitative discussion;no;yes;They point out that weight is one of the main constraints, and they couldn't use this technique for their study and discuss some key constraint;
Differences in locomotory activity between male and female Carabus hortensis (Coleoptera : Carabidae) in a pine forest and a beech forest in relation to feeding state;Szyszko et al;2004;Environmental entomology;10.1603/0046-225X-33.5.1442;WoS;Carabus hortensis;Coleoptera;Carabidae;NA;0;NE;Forest District Tuczno, Poland, Europe;Europe;Temperate;26;crawling;portable harmonic radar;elytra;dorsal;movement;212;natural field conditions;every time 2F2M;one night, be individuals were reused or until lost;no;no;NA;no;NA;no;NA;no;NA;NA;no;no;;
Tracking Movements of Individual Anoplophora glabripennis (Coleoptera: Cerambycidae) Adults: Application of Harmonic Radar;Williams et al;2004;Environmental Entomology;10.1603/0046-225X-33.3.644;WoS;Anoplophora glabripennis;Coleoptera;Cerambycidae;invasive;pest;NE;Wu Qing County, southeast of Beijing, China;Asia;Temperate;28;Flying;portable harmonic radar;prothorax;dorsal;movement;55;natural field conditions;no;16 days, only a few had still a working tag at end of tracking period;yes;yes;1.28;yes;17.6;yes;1.5;yes;maybe;normal behaviour;no;yes;;
A transponder for harmonic radar tracking of the black vine weevil in behavioral research;Brazee et al;2005;Transactions of the Asabe;10.13031/2013.18306;Conference paper;Otiorhynchus sulcatus;Coleoptera;Curculionidae;pest;pest;NE;Wooster (Ohio), USA;North America;Temperate;10;crawling;portable harmonic radar;dorsum;dorsal;development;NA;natural field conditions;not mentioned in article;4 days;yes;yes;0.07;yes;27;yes;32;yes;maybe;qualitative discussion;no;indirectly;;
Tracking butterfly flight paths across the landscape with harmonic radar;Cant et al;2005;Proc Roy Soc B;10.1098/rspb.2004.3002;WoS;Aglais urticae, Inachis io;Lepidoptera, Lepidoptera;Nymphalidae, Nymphalidae;widespread and common;0, 0;LC, NE;Harpenden, Hertfordshire, UK, Europe;Europe;Temperate;50, 52.5;Flying, Flying;scanning harmonic radar;thorax;dorsal;movement;33;lab arena and natural field conditions;no;Butterflies were tracked until they were either lost from the arena or were inactive for more than 1 h. Less than an hour;no;no;NA, NA;yes;12, 12;yes;8, 4;yes;no, no;BA + normal behaviour;yes;no;Individual butterflies were observed in a flightroom for two consecutive periods of 30 min: in one period with, and in the other without, a transponder. Extra qualitative observations. ;
Radiotelemetry reveals differences in individualmovement patterns between outbreak and non-outbreak Mormon cricket populations;Lorch et al;2005;Ecological entomology;10.1111/j.0307-6946.2005.00725.x;WoS;Anabrus simplex;Orthoptera;Tettigoniidae;widespread;pest;NE;high desert plateau south of Dinosaur National Monument in the Blue Mountain region, north- east Utah and north-west Colorado, USA;North America;Arid;80;crawling + hopping;radio telemetry;pronotum;dorsal;movement;64;lab arena and natural field conditions;no;5 days;not mentioned, but most likely yes;yes;2.50;yes;450;no;NA;yes;no;CI;yes;no;In a laboratory arena, 6 movement behaviours were investigated simultaneously in 23 tagged en 30 non-tagged individuals with video analysis.;
Honey bees navigate according to a map-like spatial memory;Menzel et al;2005;PNAS;10.1073/pnas.0408550102;WoS;Apis mellifera;Hymenoptera;Apidae;not mentioned;0;DD;Klein Lüben, Brandenburg, Germany, Europe;Europe;Temperate;12.5;Flying;scanning harmonic radar;not mentioned;NA;movement;285;apiary;workers;a few minutes;not mentioned;no;NA;no;NA;no;NA;no;NA;NA;no;no;;
The flight paths of honeybees recruited by the waggle dance;Riley et al;2005;Nature;10.1038/nature03526;WoS;Apis mellifera;Hymenoptera;Apidae;not mentioned;0;DD;not mentioned;NA;Temperate;12.5;Flying;scanning harmonic radar;not mentioned;NA;movement;23;apiary;recruiters (after waggle dance);max 20 min;not mentioned, but most likely yes;no;NA;no;NA;no;NA;yes;no;normal behaviour;no;no;;
Migratory bands give crickets protection;Sword et al;2005;Nature;10.1038/433703a;WoS;Anabrus simplex;Orthoptera;Tettigoniidae;damage to agriculture;pest;NE;south of Dinosaur National Monument in northwestern Colorado, USA ;North America;Arid;80;crawling + hopping;radio telemetry;pronotum;dorsal;behaviour;80;field experiment;no;2 days;not mentioned;no;NA;yes;450;no;NA;no;NA;established protocol;no;no;refer to Lorch et al (2000);
Simple rules guide dragonfly migration;Wikelski et al;2006;Biology Letters;10.1098/rsbl.2006.0487;WoS;Anax junius;Odonata;Aeshnidae;NA;0;LC;new Jersey, USA;North America;Temperate;76;Flying;radio telemetry;ventral thorax;ventral;dispersal;14;natural field conditions;no;max 10 days, moved out of range or after transmitter life;no;yes;1.20;yes;300;no;NA;yes;no;normal behaviour;no;indirectly;;
"
Modeling survival and mark loss in molting animals: Recapture, dead recoveries, and exuvia recoveries";Besnard et al;2007;Ecology;10.1890/05-0811;WoS;Prionotropis hystrix rhodanica;Orthoptera;Pamphagidae;Endangered ;0;CR;The Crau, Southern-France;Europe;Mediterranean;37;crawling;portable harmonic radar;pronotum ;dorsal;comparing technique;125;natural field conditions;instars 3 and 4;more than a month, only recovered for lost diodes or diodes on dead animals;no;no;NA;no;NA;no;NA;no;NA;NA;no;no;;
Telemetry of Anisoptera after emergence - first results (Odonata);Hardersen;2007;International Journal of Odonatology;10.1080/13887890.2007.9748299;peer-reviewed, not on WoS;Libellula fulva, Aeshna mixta;Odonata, Odonata;"Libellulidae, 	Aeshnidae";not mentioned;0, 0;LC, LC;Bosco della Fontana, Marmirolo, Lombardy, Italy;Europe;Temperate;43.5, 60;Flying, Flying;portable harmonic radar;dorsal abdomen, third segment;dorsal;testing technique + movement;10;natural field conditions;so ratio tag/mass < 10%;lifetime;no;yes;0.460, 0.580;yes;25, 25;yes;10, 10;yes;no, no;reasoning;no;indirectly;;
"
Displaced honey bees perform optimal scale-free search flights";Reynolds et al;2007;Ecology;10.1890/06-1916.1;WoS;Apis mellifera;Hymenoptera;Apidae;not mentioned;0;DD;not mentioned;NA;NA;12.5;Flying;scanning harmonic radar;not mentioned (thorax);NA;movement;60;apiary;workers;128-7286 s;not mentioned;no;NA;no;NA;no;NA;no;NA;established protocol;no;no;Refer to Riley and Smith (2002) and Menzel et al (2005) and Riley et al (1996) and Riley et al (2003);
"
Honeybees perform optimal scale-free searching flights when attempting to locate a food source";Reynolds et al;2007;Journal of Experimental biology;10.1242/jeb.009563;WoS;Apis mellifera;Hymenoptera;Apidae;not mentioned;0;DD;Wyton, Cambridgeshire, UK, Europe;Europe;Temperate;12.5;Flying;scanning harmonic radar;not mentioned (thorax);NA;movement;39;apiary;workers;average 249 s;yes;no;NA;no;NA;no;NA;no;NA;established protocol;no;no;Refer to Riley et al., (1999), Riley et al. (2003), Riley et al. (2005) and Capaldi et al (2000);
Appetitive flight patterns of male Agrotis segetum moths over landscape scales;Reynolds et al;2007;Journal of theoretical biology;10.1016/j.jtbi.2006.10.007;WoS;Agrotis segetum;Lepidoptera;Noctuidae;not mentioned (lab reared);0;NE;Rothamsted, Harpenden, England, Europe;Europe;Temperate;20;Flying;scanning harmonic radar;scutum;dorsal;movement;44;field experiment;males;max 77 min;not mentioned;no;NA;no;NA;no;NA;no;NA;NA;no;no;Refer to Svensson et al (2001);
"
Radio-telemetric monitoring of dispersing stag beetles: implications for conservation";Rink and Sinsch;2007;Journal of Zoology;10.1111/j.1469-7998.2006.00282.x;WoS;Lucanus cervus;Coleoptera;Lucanidae;endangered (Europe), Annex 2 european habitat directive;0;NT;Alf and Bullay, Kreis Cochem- Zell, Rhineland-Palatinate, Germany, Europe;Europe;Temperate;43;crawling + Flying;radio telemetry;pronotum;dorsal;dispersal;56;natural field conditions;no;1-32 days;not mentioned, but most likely no;no;NA;yes;350;yes;12.8;yes;no;correlation distance and weight ratio + discuss + refer;no;no;;
Experience, corpulence and decision making in ant foraging;Robinson et al;2012;Journal of Experimental biology;10.1242/jeb.071076;WoS;Temnothorax albipennis;Hymenoptera;Formicidae;NA;0;NE;Dorset, UK, Europe;Europe;Temperate;28;crawling;RFID;thorax;dorsal;behaviour;NA;artificial nest in lab;workers;14 days, at the end whole colony was killed;collected in the end;no;NA;yes;0.09;no;NA;no;NA;established protocol;no;no;Refer to Robinson et al. (2009b), Robinson et al. (2009c).;
First results of radio-tracking of Osmoderma eremita (Coleoptera: Cetoniidae) in French Chestnut orchards;Dubois and Vignon;2008;Rev. Écol. (Terre Vie);Société nationale de protection de la nature, supplement (10), pp.131-138. ?hal-00337322?;WoS;Osmoderma eremita;Coleoptera;Cetoniidae;endangered;0;NT;Sarthe, France, Europe;Europe;Temperate;30;Climbing + Flying;radio telemetry;pronotum;dorsal;testing technique + comparing technique;5;natural field conditions;Only the largest and heaviest individuals so that the tag mass dit not exceed 30%;lifetime (until its death);no;yes;2.27;yes;410;yes;20;yes;maybe;refer;no;no;Refer to Boiteau & Colpitts (2001) and mention 30% threshold (erronously). Refer to Ranius and Hadin (2001, 2002);
